ticker,concept,end,value,yoy_growth
AAPL,Capex,2008-12-27,339000000.0,
AAPL,Capex,2009-03-28,100000000.0,
AAPL,Capex,2009-06-27,246000000.0,
AAPL,Capex,2009-09-26,459000000.0,
AAPL,Capex,2009-12-26,376000000.0,0.10914454277286145
AAPL,Capex,2010-03-27,274000000.0,1.7400000000000002
AAPL,Capex,2010-06-26,595000000.0,1.4186991869918697
AAPL,Capex,2010-09-25,760000000.0,0.6557734204793029
AAPL,Capex,2010-12-25,1214000000.0,2.228723404255319
AAPL,Capex,2011-03-26,624000000.0,1.2773722627737225
AAPL,Capex,2011-06-25,777000000.0,0.3058823529411765
AAPL,Capex,2011-09-24,1645000000.0,1.164473684210526
AAPL,Capex,2011-12-31,1321000000.0,0.0881383855024711
AAPL,Capex,2012-03-31,1457000000.0,1.3349358974358974
AAPL,Capex,2012-06-30,2056000000.0,1.6460746460746463
AAPL,Capex,2012-09-29,3461000000.0,1.1039513677811552
AAPL,Capex,2012-12-29,2317000000.0,0.7539742619227858
AAPL,Capex,2013-03-30,2008000000.0,0.3781743308167467
AAPL,Capex,2013-06-29,1885000000.0,-0.08317120622568097
AAPL,Capex,2013-09-28,1955000000.0,-0.4351343542328807
AAPL,Capex,2013-12-28,1985000000.0,-0.14328873543375054
AAPL,Capex,2014-03-29,1382000000.0,-0.3117529880478087
AAPL,Capex,2014-06-28,2378000000.0,0.2615384615384615
AAPL,Capex,2014-09-27,3826000000.0,0.9570332480818415
AAPL,Capex,2014-12-27,3217000000.0,0.620654911838791
AAPL,Capex,2015-03-28,2369000000.0,0.7141823444283646
AAPL,Capex,2015-06-27,2043000000.0,-0.14087468460891506
AAPL,Capex,2015-09-26,3618000000.0,-0.05436487192890749
AAPL,Capex,2015-12-26,3612000000.0,0.12278520360584388
AAPL,Capex,2016-03-26,2336000000.0,-0.013929928239763578
AAPL,Capex,2016-06-25,2809000000.0,0.3749388154674498
AAPL,Capex,2016-09-24,3977000000.0,0.09922609176340513
AAPL,Capex,2016-12-31,3334000000.0,-0.07696566998892584
AAPL,Capex,2017-04-01,2975000000.0,0.2735445205479452
AAPL,Capex,2017-07-01,2277000000.0,-0.18939124243503025
AAPL,Capex,2017-09-30,3865000000.0,-0.028161931103847127
AAPL,Capex,2017-12-30,2810000000.0,-0.1571685662867427
AAPL,Capex,2018-03-31,4195000000.0,0.4100840336134455
AAPL,Capex,2018-06-30,3267000000.0,0.4347826086956521
AAPL,Capex,2018-09-29,3041000000.0,-0.21319534282018116
AAPL,Capex,2018-12-29,3355000000.0,0.19395017793594316
AAPL,Capex,2019-03-30,2363000000.0,-0.4367103694874851
AAPL,Capex,2019-06-29,2000000000.0,-0.3878175696357514
AAPL,Capex,2019-09-28,2777000000.0,-0.08681354817494247
AAPL,Capex,2019-12-28,2107000000.0,-0.37198211624441135
